Conifer Knoll Parking Station L1,WeekDays,0:30,100%
Conifer Knoll Parking Station L1,WeekDays,1:00,100%
Conifer Knoll Parking Station L1,WeekDays,1:30,100%
Conifer Knoll Parking Station L1,WeekDays,2:00,100%
Conifer Knoll Parking Station L1,WeekDays,2:30,100%
Conifer Knoll Parking Station L1,WeekDays,3:00,100%
Conifer Knoll Parking Station L1,WeekDays,3:30,100%
Conifer Knoll Parking Station L1,WeekDays,4:00,100%
Conifer Knoll Parking Station L1,WeekDays,4:30,100%
Conifer Knoll Parking Station L1,WeekDays,5:00,100%
Conifer Knoll Parking Station L1,WeekDays,5:30,100%
Conifer Knoll Parking Station L1,WeekDays,6:00,99%
Conifer Knoll Parking Station L1,WeekDays,6:30,97%
Conifer Knoll Parking Station L1,WeekDays,7:00,95%
Conifer Knoll Parking Station L1,WeekDays,7:30,90%
Conifer Knoll Parking Station L1,WeekDays,8:00,83%
Conifer Knoll Parking Station L1,WeekDays,8:30,66%
Conifer Knoll Parking Station L1,WeekDays,9:00,46%
Conifer Knoll Parking Station L1,WeekDays,9:30,34%
Conifer Knoll Parking Station L1,WeekDays,10:00,30%
Conifer Knoll Parking Station L1,WeekDays,10:30,27%
Conifer Knoll Parking Station L1,WeekDays,11:00,27%
Conifer Knoll Parking Station L1,WeekDays,11:30,25%
Conifer Knoll Parking Station L1,WeekDays,12:00,24%
Conifer Knoll Parking Station L1,WeekDays,12:30,25%
Conifer Knoll Parking Station L1,WeekDays,13:00,26%
Conifer Knoll Parking Station L1,WeekDays,13:30,26%
Conifer Knoll Parking Station L1,WeekDays,14:00,26%
Conifer Knoll Parking Station L1,WeekDays,14:30,27%
Conifer Knoll Parking Station L1,WeekDays,15:00,30%
Conifer Knoll Parking Station L1,WeekDays,15:30,33%
Conifer Knoll Parking Station L1,WeekDays,16:00,37%
Conifer Knoll Parking Station L1,WeekDays,16:30,45%
Conifer Knoll Parking Station L1,WeekDays,17:00,56%
Conifer Knoll Parking Station L1,WeekDays,17:30,73%
Conifer Knoll Parking Station L1,WeekDays,18:00,84%
Conifer Knoll Parking Station L1,WeekDays,18:30,90%
Conifer Knoll Parking Station L1,WeekDays,19:00,94%
Conifer Knoll Parking Station L1,WeekDays,19:30,97%
Conifer Knoll Parking Station L1,WeekDays,20:00,97%
Conifer Knoll Parking Station L1,WeekDays,20:30,98%
Conifer Knoll Parking Station L1,WeekDays,21:00,99%
Conifer Knoll Parking Station L1,WeekDays,21:30,99%
Conifer Knoll Parking Station L1,WeekDays,22:00,100%
Conifer Knoll Parking Station L1,WeekDays,22:30,100%
Conifer Knoll Parking Station L1,WeekDays,23:00,100%
Conifer Knoll Parking Station L1,WeekDays,23:30,100%
Conifer Knoll Parking Station L1,WeekDays,0:00,100%
Conifer Knoll Parking Station L1,WeekEnds,0:30,100%
Conifer Knoll Parking Station L1,WeekEnds,1:00,100%
Conifer Knoll Parking Station L1,WeekEnds,1:30,100%
Conifer Knoll Parking Station L1,WeekEnds,2:00,100%
Conifer Knoll Parking Station L1,WeekEnds,2:30,100%
Conifer Knoll Parking Station L1,WeekEnds,3:00,100%
Conifer Knoll Parking Station L1,WeekEnds,3:30,100%
Conifer Knoll Parking Station L1,WeekEnds,4:00,100%
Conifer Knoll Parking Station L1,WeekEnds,4:30,100%
Conifer Knoll Parking Station L1,WeekEnds,5:00,100%
Conifer Knoll Parking Station L1,WeekEnds,5:30,100%
Conifer Knoll Parking Station L1,WeekEnds,6:00,100%
Conifer Knoll Parking Station L1,WeekEnds,6:30,100%
Conifer Knoll Parking Station L1,WeekEnds,7:00,100%
Conifer Knoll Parking Station L1,WeekEnds,7:30,99%
Conifer Knoll Parking Station L1,WeekEnds,8:00,96%
Conifer Knoll Parking Station L1,WeekEnds,8:30,95%
Conifer Knoll Parking Station L1,WeekEnds,9:00,95%
Conifer Knoll Parking Station L1,WeekEnds,9:30,96%
Conifer Knoll Parking Station L1,WeekEnds,10:00,94%
Conifer Knoll Parking Station L1,WeekEnds,10:30,95%
Conifer Knoll Parking Station L1,WeekEnds,11:00,95%
Conifer Knoll Parking Station L1,WeekEnds,11:30,96%
Conifer Knoll Parking Station L1,WeekEnds,12:00,96%
Conifer Knoll Parking Station L1,WeekEnds,12:30,97%
Conifer Knoll Parking Station L1,WeekEnds,13:00,97%
Conifer Knoll Parking Station L1,WeekEnds,13:30,98%
Conifer Knoll Parking Station L1,WeekEnds,14:00,97%
Conifer Knoll Parking Station L1,WeekEnds,14:30,97%
Conifer Knoll Parking Station L1,WeekEnds,15:00,96%
Conifer Knoll Parking Station L1,WeekEnds,15:30,97%
Conifer Knoll Parking Station L1,WeekEnds,16:00,98%
Conifer Knoll Parking Station L1,WeekEnds,16:30,98%
Conifer Knoll Parking Station L1,WeekEnds,17:00,99%
Conifer Knoll Parking Station L1,WeekEnds,17:30,99%
Conifer Knoll Parking Station L1,WeekEnds,18:00,99%
Conifer Knoll Parking Station L1,WeekEnds,18:30,99%
Conifer Knoll Parking Station L1,WeekEnds,19:00,100%
Conifer Knoll Parking Station L1,WeekEnds,19:30,100%
Conifer Knoll Parking Station L1,WeekEnds,20:00,100%
Conifer Knoll Parking Station L1,WeekEnds,20:30,100%
Conifer Knoll Parking Station L1,WeekEnds,21:00,99%
Conifer Knoll Parking Station L1,WeekEnds,21:30,99%
Conifer Knoll Parking Station L1,WeekEnds,22:00,100%
Conifer Knoll Parking Station L1,WeekEnds,22:30,100%
Conifer Knoll Parking Station L1,WeekEnds,23:00,100%
Conifer Knoll Parking Station L1,WeekEnds,23:30,100%
Conifer Knoll Parking Station L1,WeekEnds,0:00,100%
Conifer Knoll Parking Station L3,WeekDays,0:30,100%
Conifer Knoll Parking Station L3,WeekDays,1:00,100%
Conifer Knoll Parking Station L3,WeekDays,1:30,100%
Conifer Knoll Parking Station L3,WeekDays,2:00,100%
Conifer Knoll Parking Station L3,WeekDays,2:30,100%
Conifer Knoll Parking Station L3,WeekDays,3:00,100%
Conifer Knoll Parking Station L3,WeekDays,3:30,100%
Conifer Knoll Parking Station L3,WeekDays,4:00,100%
Conifer Knoll Parking Station L3,WeekDays,4:30,99%
Conifer Knoll Parking Station L3,WeekDays,5:00,99%
Conifer Knoll Parking Station L3,WeekDays,5:30,96%
Conifer Knoll Parking Station L3,WeekDays,6:00,81%
Conifer Knoll Parking Station L3,WeekDays,6:30,65%
Conifer Knoll Parking Station L3,WeekDays,7:00,57%
Conifer Knoll Parking Station L3,WeekDays,7:30,35%
Conifer Knoll Parking Station L3,WeekDays,8:00,4%
Conifer Knoll Parking Station L3,WeekDays,8:30,2%
Conifer Knoll Parking Station L3,WeekDays,9:00,2%
Conifer Knoll Parking Station L3,WeekDays,9:30,2%
Conifer Knoll Parking Station L3,WeekDays,10:00,3%
Conifer Knoll Parking Station L3,WeekDays,10:30,2%
Conifer Knoll Parking Station L3,WeekDays,11:00,3%
Conifer Knoll Parking Station L3,WeekDays,11:30,3%
Conifer Knoll Parking Station L3,WeekDays,12:00,2%
Conifer Knoll Parking Station L3,WeekDays,12:30,2%
Conifer Knoll Parking Station L3,WeekDays,13:00,3%
Conifer Knoll Parking Station L3,WeekDays,13:30,4%
Conifer Knoll Parking Station L3,WeekDays,14:00,5%
Conifer Knoll Parking Station L3,WeekDays,14:30,11%
Conifer Knoll Parking Station L3,WeekDays,15:00,19%
Conifer Knoll Parking Station L3,WeekDays,15:30,31%
Conifer Knoll Parking Station L3,WeekDays,16:00,42%
Conifer Knoll Parking Station L3,WeekDays,16:30,57%
Conifer Knoll Parking Station L3,WeekDays,17:00,65%
Conifer Knoll Parking Station L3,WeekDays,17:30,71%
Conifer Knoll Parking Station L3,WeekDays,18:00,78%
Conifer Knoll Parking Station L3,WeekDays,18:30,84%
Conifer Knoll Parking Station L3,WeekDays,19:00,88%
Conifer Knoll Parking Station L3,WeekDays,19:30,91%
Conifer Knoll Parking Station L3,WeekDays,20:00,94%
Conifer Knoll Parking Station L3,WeekDays,20:30,96%
Conifer Knoll Parking Station L3,WeekDays,21:00,97%
Conifer Knoll Parking Station L3,WeekDays,21:30,98%
Conifer Knoll Parking Station L3,WeekDays,22:00,99%
Conifer Knoll Parking Station L3,WeekDays,22:30,100%
Conifer Knoll Parking Station L3,WeekDays,23:00,100%
Conifer Knoll Parking Station L3,WeekDays,23:30,99%
Conifer Knoll Parking Station L3,WeekDays,0:00,100%
Conifer Knoll Parking Station L3,WeekEnds,0:30,100%
Conifer Knoll Parking Station L3,WeekEnds,1:00,100%
Conifer Knoll Parking Station L3,WeekEnds,1:30,99%
Conifer Knoll Parking Station L3,WeekEnds,2:00,100%
Conifer Knoll Parking Station L3,WeekEnds,2:30,100%
Conifer Knoll Parking Station L3,WeekEnds,3:00,100%
Conifer Knoll Parking Station L3,WeekEnds,3:30,100%
Conifer Knoll Parking Station L3,WeekEnds,4:00,100%
Conifer Knoll Parking Station L3,WeekEnds,4:30,100%
Conifer Knoll Parking Station L3,WeekEnds,5:00,99%
Conifer Knoll Parking Station L3,WeekEnds,5:30,99%
Conifer Knoll Parking Station L3,WeekEnds,6:00,100%
Conifer Knoll Parking Station L3,WeekEnds,6:30,96%
Conifer Knoll Parking Station L3,WeekEnds,7:00,95%
Conifer Knoll Parking Station L3,WeekEnds,7:30,94%
Conifer Knoll Parking Station L3,WeekEnds,8:00,94%
Conifer Knoll Parking Station L3,WeekEnds,8:30,89%
Conifer Knoll Parking Station L3,WeekEnds,9:00,89%
Conifer Knoll Parking Station L3,WeekEnds,9:30,87%
Conifer Knoll Parking Station L3,WeekEnds,10:00,88%
Conifer Knoll Parking Station L3,WeekEnds,10:30,89%
Conifer Knoll Parking Station L3,WeekEnds,11:00,89%
Conifer Knoll Parking Station L3,WeekEnds,11:30,89%
Conifer Knoll Parking Station L3,WeekEnds,12:00,92%
Conifer Knoll Parking Station L3,WeekEnds,12:30,95%
Conifer Knoll Parking Station L3,WeekEnds,13:00,98%
Conifer Knoll Parking Station L3,WeekEnds,13:30,98%
Conifer Knoll Parking Station L3,WeekEnds,14:00,98%
Conifer Knoll Parking Station L3,WeekEnds,14:30,99%
Conifer Knoll Parking Station L3,WeekEnds,15:00,99%
Conifer Knoll Parking Station L3,WeekEnds,15:30,98%
Conifer Knoll Parking Station L3,WeekEnds,16:00,99%
Conifer Knoll Parking Station L3,WeekEnds,16:30,99%
Conifer Knoll Parking Station L3,WeekEnds,17:00,99%
Conifer Knoll Parking Station L3,WeekEnds,17:30,99%
Conifer Knoll Parking Station L3,WeekEnds,18:00,99%
Conifer Knoll Parking Station L3,WeekEnds,18:30,99%
Conifer Knoll Parking Station L3,WeekEnds,19:00,99%
Conifer Knoll Parking Station L3,WeekEnds,19:30,99%
Conifer Knoll Parking Station L3,WeekEnds,20:00,100%
Conifer Knoll Parking Station L3,WeekEnds,20:30,99%
Conifer Knoll Parking Station L3,WeekEnds,21:00,99%
Conifer Knoll Parking Station L3,WeekEnds,21:30,100%
Conifer Knoll Parking Station L3,WeekEnds,22:00,100%
Conifer Knoll Parking Station L3,WeekEnds,22:30,100%
Conifer Knoll Parking Station L3,WeekEnds,23:00,100%
Conifer Knoll Parking Station L3,WeekEnds,23:30,100%
Conifer Knoll Parking Station L3,WeekEnds,0:00,100%
UQ Centre Parking Station,WeekDays,0:30,99%
UQ Centre Parking Station,WeekDays,1:00,99%
UQ Centre Parking Station,WeekDays,1:30,99%
UQ Centre Parking Station,WeekDays,2:00,99%
UQ Centre Parking Station,WeekDays,2:30,99%
UQ Centre Parking Station,WeekDays,3:00,97%
UQ Centre Parking Station,WeekDays,3:30,97%
UQ Centre Parking Station,WeekDays,4:00,97%
UQ Centre Parking Station,WeekDays,4:30,97%
UQ Centre Parking Station,WeekDays,5:00,97%
UQ Centre Parking Station,WeekDays,5:30,96%
UQ Centre Parking Station,WeekDays,6:00,96%
UQ Centre Parking Station,WeekDays,6:30,95%
UQ Centre Parking Station,WeekDays,7:00,95%
UQ Centre Parking Station,WeekDays,7:30,94%
UQ Centre Parking Station,WeekDays,8:00,93%
UQ Centre Parking Station,WeekDays,8:30,93%
UQ Centre Parking Station,WeekDays,9:00,90%
UQ Centre Parking Station,WeekDays,9:30,87%
UQ Centre Parking Station,WeekDays,10:00,80%
UQ Centre Parking Station,WeekDays,10:30,79%
UQ Centre Parking Station,WeekDays,11:00,80%
UQ Centre Parking Station,WeekDays,11:30,79%
UQ Centre Parking Station,WeekDays,12:00,78%
UQ Centre Parking Station,WeekDays,12:30,80%
UQ Centre Parking Station,WeekDays,13:00,75%
UQ Centre Parking Station,WeekDays,13:30,71%
UQ Centre Parking Station,WeekDays,14:00,69%
UQ Centre Parking Station,WeekDays,14:30,70%
UQ Centre Parking Station,WeekDays,15:00,70%
UQ Centre Parking Station,WeekDays,15:30,69%
UQ Centre Parking Station,WeekDays,16:00,71%
UQ Centre Parking Station,WeekDays,16:30,69%
UQ Centre Parking Station,WeekDays,17:00,67%
UQ Centre Parking Station,WeekDays,17:30,66%
UQ Centre Parking Station,WeekDays,18:00,64%
UQ Centre Parking Station,WeekDays,18:30,62%
UQ Centre Parking Station,WeekDays,19:00,60%
UQ Centre Parking Station,WeekDays,19:30,55%
UQ Centre Parking Station,WeekDays,20:00,54%
UQ Centre Parking Station,WeekDays,20:30,55%
UQ Centre Parking Station,WeekDays,21:00,58%
UQ Centre Parking Station,WeekDays,21:30,61%
UQ Centre Parking Station,WeekDays,22:00,61%
UQ Centre Parking Station,WeekDays,22:30,62%
UQ Centre Parking Station,WeekDays,23:00,63%
UQ Centre Parking Station,WeekDays,23:30,64%
UQ Centre Parking Station,WeekDays,0:00,64%
UQ Centre Parking Station,WeekEnds,0:30,100%
UQ Centre Parking Station,WeekEnds,1:00,100%
UQ Centre Parking Station,WeekEnds,1:30,100%
UQ Centre Parking Station,WeekEnds,2:00,100%
UQ Centre Parking Station,WeekEnds,2:30,100%
UQ Centre Parking Station,WeekEnds,3:00,100%
UQ Centre Parking Station,WeekEnds,3:30,100%
UQ Centre Parking Station,WeekEnds,4:00,100%
UQ Centre Parking Station,WeekEnds,4:30,100%
UQ Centre Parking Station,WeekEnds,5:00,100%
UQ Centre Parking Station,WeekEnds,5:30,100%
UQ Centre Parking Station,WeekEnds,6:00,100%
UQ Centre Parking Station,WeekEnds,6:30,99%
UQ Centre Parking Station,WeekEnds,7:00,99%
UQ Centre Parking Station,WeekEnds,7:30,99%
UQ Centre Parking Station,WeekEnds,8:00,96%
UQ Centre Parking Station,WeekEnds,8:30,90%
UQ Centre Parking Station,WeekEnds,9:00,87%
UQ Centre Parking Station,WeekEnds,9:30,81%
UQ Centre Parking Station,WeekEnds,10:00,78%
UQ Centre Parking Station,WeekEnds,10:30,72%
UQ Centre Parking Station,WeekEnds,11:00,69%
UQ Centre Parking Station,WeekEnds,11:30,68%
UQ Centre Parking Station,WeekEnds,12:00,65%
UQ Centre Parking Station,WeekEnds,12:30,62%
UQ Centre Parking Station,WeekEnds,13:00,60%
UQ Centre Parking Station,WeekEnds,13:30,58%
UQ Centre Parking Station,WeekEnds,14:00,54%
UQ Centre Parking Station,WeekEnds,14:30,50%
UQ Centre Parking Station,WeekEnds,15:00,44%
UQ Centre Parking Station,WeekEnds,15:30,36%
UQ Centre Parking Station,WeekEnds,16:00,32%
UQ Centre Parking Station,WeekEnds,16:30,32%
UQ Centre Parking Station,WeekEnds,17:00,29%
UQ Centre Parking Station,WeekEnds,17:30,24%
UQ Centre Parking Station,WeekEnds,18:00,25%
UQ Centre Parking Station,WeekEnds,18:30,33%
UQ Centre Parking Station,WeekEnds,19:00,36%
UQ Centre Parking Station,WeekEnds,19:30,32%
UQ Centre Parking Station,WeekEnds,20:00,33%
UQ Centre Parking Station,WeekEnds,20:30,35%
UQ Centre Parking Station,WeekEnds,21:00,39%
UQ Centre Parking Station,WeekEnds,21:30,41%
UQ Centre Parking Station,WeekEnds,22:00,58%
UQ Centre Parking Station,WeekEnds,22:30,75%
UQ Centre Parking Station,WeekEnds,23:00,88%
UQ Centre Parking Station,WeekEnds,23:30,94%
UQ Centre Parking Station,WeekEnds,0:00,100%
Sir William MacGregor Drive,WeekDays,0:30,94%
Sir William MacGregor Drive,WeekDays,1:00,95%
Sir William MacGregor Drive,WeekDays,1:30,96%
Sir William MacGregor Drive,WeekDays,2:00,96%
Sir William MacGregor Drive,WeekDays,2:30,96%
